filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20181210_100050_118_R.JPG,3691489,{},28,0,"{""all_points_x"": [1439, 1405, 1495], ""all_points_y"": [2147, 2222, 2169], ""name"": ""polygon""}","{""Objects"": ""5""}"
20181210_100050_118_R.JPG,3691489,{},28,1,"{""all_points_x"": [1570, 1502, 1588, 1636], ""all_points_y"": [2014, 2075, 2139, 2043], ""name"": ""polygon""}","{""Objects"": ""5""}"
20181210_100050_118_R.JPG,3691489,{},28,2,"{""all_points_x"": [1252, 1183, 1282, 1337], ""all_points_y"": [2010, 2092, 2148, 2062], ""name"": ""polygon""}","{""Objects"": ""5""}"
20181210_100050_118_R.JPG,3691489,{},28,3,"{""all_points_x"": [2429, 2620, 2787, 2800, 2650, 2444], ""all_points_y"": [1488, 1581, 1364, 1270, 1485, 1387], ""name"": ""polygon""}","{""Objects"": ""2""}"
20181210_100050_118_R.JPG,3691489,{},28,4,"{""all_points_x"": [2614, 2453, 2647, 2797], ""all_points_y"": [1166, 1383, 1478, 1268], ""name"": ""polygon""}","{""Objects"": ""1""}"
20181210_100050_118_R.JPG,3691489,{},28,5,"{""all_points_x"": [2328, 2163, 2343, 2491], ""all_points_y"": [1027, 1219, 1307, 1113], ""name"": ""polygon""}","{""Objects"": ""1""}"
20181210_100050_118_R.JPG,3691489,{},28,6,"{""all_points_x"": [2153, 2139, 2332, 2507, 2510, 2345], ""all_points_y"": [1234, 1343, 1437, 1226, 1126, 1318], ""name"": ""polygon""}","{""Objects"": ""2""}"
20181210_100050_118_R.JPG,3691489,{},28,7,"{""all_points_x"": [1974, 1904, 2055, 2101], ""all_points_y"": [2139, 2226, 2314, 2226], ""name"": ""polygon""}","{""Objects"": ""5""}"
20181210_100050_118_R.JPG,3691489,{},28,8,"{""all_points_x"": [11, 292, 434, 1252, 5], ""all_points_y"": [2057, 2268, 2108, 2690, 2697], ""name"": ""polygon""}","{""Objects"": ""1""}"
20181210_100050_118_R.JPG,3691489,{},28,9,"{""all_points_x"": [2241, 3588, 3596], ""all_points_y"": [6, 548, 11], ""name"": ""polygon""}","{""Objects"": ""2""}"
20181210_100050_118_R.JPG,3691489,{},28,10,"{""all_points_x"": [2729, 2836, 2975, 2839], ""all_points_y"": [921, 1214, 1177, 911], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,11,"{""all_points_x"": [2526, 2580, 2725, 2650], ""all_points_y"": [836, 1098, 1073, 829], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,12,"{""all_points_x"": [2318, 2343, 2479, 2460], ""all_points_y"": [702, 934, 939, 711], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,13,"{""all_points_x"": [2095, 2150, 2307, 2221], ""all_points_y"": [648, 858, 822, 600], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,14,"{""all_points_x"": [3160, 2889, 2957, 3239], ""all_points_y"": [558, 632, 763, 653], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,15,"{""all_points_x"": [2906, 2671, 2746, 2982], ""all_points_y"": [481, 554, 646, 567], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,16,"{""all_points_x"": [2762, 2515, 2573, 2821], ""all_points_y"": [375, 428, 530, 482], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,17,"{""all_points_x"": [2602, 2325, 2385, 2642], ""all_points_y"": [304, 345, 431, 382], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,18,"{""all_points_x"": [2376, 2134, 2211, 2463], ""all_points_y"": [191, 249, 338, 282], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,19,"{""all_points_x"": [1716, 1914, 1862, 1656], ""all_points_y"": [163, 93, 19, 77], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,20,"{""all_points_x"": [1598, 1815, 1555], ""all_points_y"": [85, 15, 7], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,21,"{""all_points_x"": [1058, 1067, 949, 954], ""all_points_y"": [45, 229, 222, 24], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,22,"{""all_points_x"": [890, 901, 785, 795], ""all_points_y"": [22, 170, 160, 12], ""name"": ""polygon""}","{""Objects"": ""4""}"
20181210_100050_118_R.JPG,3691489,{},28,23,"{""all_points_x"": [625, 610, 761, 767], ""all_points_y"": [4, 109, 108, 5], ""name"": ""polygon""}","{""Objects"": ""4""}"
